id_ipc_apertura;valor_ipc_apertura;id_apertura;id_periodo;id_region
NULL;4.9;12;8;2
NULL;4.5;12;9;2
NULL;0.4;12;10;2
NULL;0;12;11;2
NULL;5.4;12;12;2
NULL;0.6;12;13;2
NULL;3.6;12;14;2
NULL;0;12;15;2
NULL;0.4;12;16;2
NULL;0;12;17;2
NULL;7.5;12;18;2
NULL;0;12;19;2
NULL;7.9;12;20;2
NULL;0;12;21;2
NULL;8;12;22;2
NULL;0;12;23;2
NULL;8.5;12;24;2
NULL;0;12;25;2
NULL;5;12;26;2
NULL;0;12;27;2
NULL;0;12;28;2
NULL;7.5;12;29;2
NULL;0;12;30;2
NULL;5.5;12;31;2
NULL;5.7;12;32;2
NULL;5.5;12;33;2
NULL;4;12;34;2
NULL;4;12;35;2
NULL;12;12;36;2
NULL;0;12;37;2
NULL;0;12;38;2
NULL;0;12;39;2
NULL;0;12;40;2
NULL;0;12;41;2
NULL;0;12;42;2
NULL;0;12;43;2
NULL;0;12;44;2
NULL;0;12;45;2
NULL;0;12;46;2
NULL;0;12;47;2
NULL;10;12;48;2
NULL;0;12;49;2
NULL;0;12;50;2
NULL;3.5;12;51;2
NULL;4.5;12;52;2
NULL;5.5;12;53;2
NULL;0;12;54;2
NULL;0;12;55;2
NULL;9;12;56;2
NULL;9;12;57;2
NULL;9;12;58;2
NULL;0;12;59;2
NULL;0;12;60;2
NULL;7.8;12;61;2
NULL;1.1;12;62;2
NULL;6;12;63;2
NULL;6;12;64;2
NULL;8;12;65;2
NULL;2.8;13;1;2
NULL;0.7;13;2;2
NULL;-0.5;13;3;2
NULL;0.4;13;4;2
NULL;2.1;13;5;2
NULL;1.2;13;6;2
NULL;-1.3;13;7;2
NULL;0.4;13;8;2
NULL;2.4;13;9;2
NULL;0.8;13;10;2
NULL;2.8;13;11;2
NULL;2.1;13;12;2
NULL;4.3;13;13;2
NULL;1.7;13;14;2
NULL;1.6;13;15;2
NULL;2.8;13;16;2
NULL;4.4;13;17;2
NULL;9.9;13;18;2
NULL;8.4;13;19;2
NULL;0;13;20;2
NULL;16.2;13;21;2
NULL;6.8;13;22;2
NULL;3.8;13;23;2
NULL;0.7;13;24;2
NULL;1.6;13;25;2
NULL;1.2;13;26;2
NULL;3.4;13;27;2
NULL;4.8;13;28;2
NULL;3.7;13;29;2
NULL;2;13;30;2
NULL;-3.4;13;31;2
NULL;15.9;13;32;2
NULL;8.7;13;33;2
NULL;5.1;13;34;2
NULL;4.3;13;35;2
NULL;4.5;13;36;2
NULL;0.4;13;37;2
NULL;2.5;13;38;2
NULL;5.1;13;39;2
NULL;5.2;13;40;2
NULL;-0.7;13;41;2
NULL;4.4;13;42;2
NULL;4.4;13;43;2
NULL;5.7;13;44;2
NULL;5.8;13;45;2
NULL;6.5;13;46;2
NULL;6.4;13;47;2
NULL;5.2;13;48;2
NULL;2.4;13;49;2
NULL;8.8;13;50;2
NULL;4.4;13;51;2
NULL;4.1;13;52;2
NULL;5.6;13;53;2
NULL;3.9;13;54;2
NULL;3;13;55;2
NULL;4;13;56;2
NULL;5.2;13;57;2
NULL;1.4;13;58;2
NULL;4.8;13;59;2
NULL;9.7;13;60;2
NULL;6.3;13;61;2
NULL;6;13;62;2
NULL;2.8;13;63;2
NULL;7.5;13;64;2
NULL;3;13;65;2
NULL;2.2;14;1;2
NULL;3.4;14;2;2
NULL;1.9;14;3;2
NULL;1.5;14;4;2
NULL;0.9;14;5;2
NULL;0.1;14;6;2
NULL;2.8;14;7;2
NULL;0.5;14;8;2
NULL;0.6;14;9;2
NULL;1.4;14;10;2
NULL;3.5;14;11;2
NULL;4.1;14;12;2
NULL;2.3;14;13;2
NULL;3.5;14;14;2
NULL;1.4;14;15;2
NULL;4.7;14;16;2
NULL;2.1;14;17;2
NULL;3.6;14;18;2
NULL;5.3;14;19;2
NULL;3.2;14;20;2
NULL;9.6;14;21;2
NULL;8.4;14;22;2
NULL;2.8;14;23;2
NULL;2.4;14;24;2
NULL;0.9;14;25;2
NULL;1.4;14;26;2
NULL;2.4;14;27;2
NULL;3.9;14;28;2
NULL;5;14;29;2
NULL;2;14;30;2
NULL;1.5;14;31;2
NULL;1.9;14;32;2
NULL;3.5;14;33;2
NULL;2.3;14;34;2
NULL;4.9;14;35;2
NULL;5.1;14;36;2
NULL;1.3;14;37;2
NULL;0.8;14;38;2
NULL;1.2;14;39;2
NULL;0.9;14;40;2
NULL;0.6;14;41;2
NULL;1.3;14;42;2
NULL;1;14;43;2
NULL;2.3;14;44;2
NULL;3.5;14;45;2
NULL;4.5;14;46;2
NULL;2.3;14;47;2
NULL;3.5;14;48;2
NULL;7;14;49;2
NULL;4.5;14;50;2
NULL;3.3;14;51;2
NULL;8;14;52;2
NULL;9.5;14;53;2
NULL;3.1;14;54;2
NULL;1.2;14;55;2
NULL;1.8;14;56;2
NULL;2.1;14;57;2
NULL;1.3;14;58;2
NULL;2.1;14;59;2
NULL;0.6;14;60;2
